1,2,11.546751,23.712764,56.657941,82.592720,0.738349,0.841752,0.738349.1,0.765364,2.409391,1.000000,92.160497,13.036494,3.000000,0.045488,16.220184,4.000000,20.140211,12.920537,3.000000.1,0.013027,18.496563,6.000000,0.230404,16.289266,5.000000,99.826492,5.829067,5.000000.1,0.011693,18.861237,2.000000,43.650803
2,1,5.743314,58.718378,98.917585,70.281485,0.770485,0.830554,0.237014,0.458182,11.658207,1.0,19.740344,12.101376,4.0,0.011473,15.728792,6.0,89.864373,17.854653,5.0,0.012606,1.823085,5.0,0.014446,2.957107,1.0,29.503761,12.546929,3.0,0.010826,8.932379,4.0,44.268915
3,2,16.3312,57.425509,74.116175,26.356844,0.687991,0.962655,0.708769,0.896444,15.23096,3.0,60.611048,11.011826,2.0,0.010763,2.200926,6.0,45.089315,14.390953,5.0,0.047153,16.276781,1.0,0.012694,0.725906,2.0,38.683318,16.625554,6.0,0.011376,7.046837,4.0,76.029498
4,3,74.190011,13.472351,68.661011,99.343508,0.20684,0.464673,0.603808,0.187887,5.353794,1.0,21.984051,10.30923,4.0,0.049652,9.192196,6.0,76.764014,3.806809,6.0,0.230404,16.21459,5.0,0.030736,17.694079,5.0,50.3237,12.267385,2.0,0.015133,10.49366,6.0,50.865182
5,3,12.879926,59.448393,15.869654,54.539724,0.871773,0.623405,0.768462,0.898281,7.34699,6.0,77.829739,3.925544,1.0,0.107712,14.944367,4.0,43.884569,9.804231,2.0,0.046627,12.432864,6.0,0.331522,16.979339,5.0,52.799294,2.765878,2.0,0.010992,14.348054,2.0,10.695517
6,1,45.429235,88.226265,6.536401,92.96593,0.978103,0.533501,0.869299,0.284172,4.808761,1.0,7.530732,10.560768,5.0,0.011343,1.836968,6.0,73.182059,17.074936,1.0,0.016068,5.823773,3.0,0.014037,7.424784,2.0,98.60811,16.735868,2.0,0.018802,12.240539,1.0,60.029501
7,1,86.515644,25.535045,5.881642,18.75753,0.305656,0.623377,0.849074,0.620635,12.828516,1.0,17.086991,6.24688,1.0,0.088343,14.899051,2.0,47.753072,16.347337,4.0,0.01201,8.619419,2.0,0.010488,1.784456,6.0,34.046487,12.335022,5.0,0.014012,1.902724,5.0,12.905961
8,2,49.323587,38.786802,71.734202,48.868974,0.513548,0.306216,0.537499,0.297135,11.30807,3.0,39.561125,2.645399,3.0,0.013987,13.327045,4.0,16.673837,2.592491,5.0,0.02777,11.793578,5.0,0.014481,12.090308,3.0,57.829055,8.047121,6.0,0.01091,15.057067,2.0,90.589782
9,2,60.50293,79.889919,54.572255,18.543644,0.163612,0.889938,0.132091,0.637566,15.098087,4.0,59.821864,11.0265,2.0,0.011436,4.713705,2.0,78.718555,17.405423,2.0,0.023113,1.525239,4.0,0.018913,2.419599,3.0,83.168312,13.703821,3.0,0.010664,1.477686,1.0,1.611525
10,1,2.686143,62.405681,20.780577,14.769302,0.837282,0.975658,0.501975,0.152353,9.873361,2.0,30.758364,2.263469,2.0,0.014588,16.548353,2.0,44.394561,1.574399,2.0,0.015371,12.059741,3.0,0.383764,15.189879,4.0,12.555311,0.76214,2.0,0.011667,1.428806,6.0,57.912848
11,1,6.768284,55.42614,94.103514,55.05223,0.677545,0.255215,0.217584,0.736585,5.073848,2.0,7.310601,16.502736,4.0,0.021991,6.863175,1.0,51.532508,18.632427,1.0,0.048065,13.128415,5.0,0.014516,16.603165,6.0,14.916479,17.856306,1.0,0.057021,11.227016,3.0,42.960041
12,1,67.35698,81.035197,7.416091,20.126196,0.343758,0.172664,0.634294,0.659663,15.741748,2.0,49.94997,9.736568,6.0,0.099169,14.973213,5.0,11.692019,13.201593,3.0,0.117751,16.965352,3.0,0.019355,14.556562,1.0,7.774529,8.779881,1.0,0.034328,14.555261,4.0,10.25437
13,2,8.379509,20.318732,94.620449,2.44251,0.433285,0.848025,0.132904,0.32819,4.678718,1.0,77.644116,8.087242,1.0,0.020422,0.863495,1.0,6.206642,3.316351,4.0,0.034983,13.959671,2.0,0.016589,10.438543,2.0,69.092943,12.256299,6.0,0.014275,1.093608,4.0,47.932185
14,1,56.758151,36.595508,6.506614,46.102385,0.435631,0.847928,0.210627,0.839239,5.963058,6.0,58.340076,4.047209,5.0,0.024272,2.422857,2.0,9.26082,14.000792,6.0,0.952384,16.400172,4.0,0.013691,10.24741,1.0,76.189418,15.45725,6.0,0.011647,18.267612,3.0,26.131035
15,2,69.533895,33.679789,75.156762,22.811789,0.768643,0.519926,0.882148,0.635832,0.872925,2.0,18.303412,8.869473,2.0,0.010517,12.298746,5.0,72.557617,10.36103,2.0,0.145679,18.212346,4.0,0.052271,19.268182,3.0,83.848456,14.484345,5.0,0.024216,7.258729,5.0,25.194755
16,2,31.880751,43.106343,75.135294,50.172114,0.862306,0.861899,0.416554,0.30542,3.068943,1.0,12.273538,12.983508,2.0,0.022668,16.330583,2.0,64.127295,2.579687,3.0,0.010259,8.551428,2.0,0.016625,11.172494,4.0,89.98618,2.894735,1.0,0.011125,18.279242,6.0,39.150276
