4	3	7.712657	2.798073	-2.950595	2.982699	0.115623	-3.522183	6.829255	9.046346	8.252724	4.847928	-3.847162	0.790474
5	3	3.817047	5.437347	-2.228359	-3.550284	-2.491310	0.916111	-1.305914	1.972130	-4.388857	-2.273279	4.353511	5.403156
24	3	6.963192	6.475478	-2.554721	-6.144557	-0.836468	-4.412323	5.903288	4.875055	4.475761	1.823497	2.926065	4.869619
30	3	0.004647	8.882943	3.062150	-3.846938	5.060993	8.892373	-0.508517	-5.352374	-5.956055	-1.988943	9.327544	5.410920
31	3	-6.142143	-1.693685	7.584171	9.043283	6.216111	9.374226	-3.997810	-0.627207	1.432794	8.218244	1.567324	-0.586667
39	3	-2.307183	-1.432772	7.038289	6.881453	4.646872	6.924098	5.409255	0.958321	6.404427	7.081562	-1.080395	-1.440080
40	3	6.443841	2.443183	-0.652709	1.446475	3.403837	0.772865	6.091264	5.304558	8.077351	6.695996	-3.228182	-2.705476
42	3	6.667598	6.557847	-5.851622	-5.565563	1.357636	0.877777	0.601781	0.097399	-3.724533	-3.473952	6.725311	5.710335
58	3	6.652370	6.520501	-6.999229	-6.486124	-3.229617	-2.445952	6.022765	6.620180	0.841787	0.620084	-0.427433	-0.355766
68	3	5.299593	6.482472	-2.496854	-6.931628	-6.899118	-0.316647	9.350935	3.431433	-0.515280	3.914162	7.959869	-0.432326
84	3	5.847932	5.503119	-6.271891	-4.585275	-0.048750	1.547148	-2.692814	0.544285	-0.611042	-4.403367	3.454677	5.525488
94	3	5.353848	2.028494	0.352453	3.331790	5.449574	6.826192	-3.443811	-2.347733	-6.720225	-4.950034	5.982440	9.207858
99	3	5.648979	6.269210	3.687105	2.773314	0.925348	-1.219096	5.561913	6.927684	6.422592	6.736313	-2.042747	-1.364376
112	3	-2.523210	-5.315552	5.950247	3.860919	6.889390	6.247969	-4.055810	-7.187693	0.609042	-0.015715	0.132930	-2.495003
122	3	8.706182	5.541086	-5.614244	-1.622622	-4.062184	-3.468092	6.605681	6.360496	2.293148	0.752562	0.737369	0.638652
142	3	-0.505772	-2.615398	8.001855	6.248754	2.620737	-0.978847	1.023780	0.015900	7.333714	6.047704	-2.064083	-3.715300
143	3	-3.450560	0.171949	6.979518	3.703529	5.169010	6.884232	-5.808059	-6.510686	-1.262403	1.025298	0.664267	-2.038080
147	3	-6.302163	-3.216227	6.263694	5.397592	-0.282445	0.595619	0.246089	0.239001	6.272622	6.378336	-4.686911	-2.595961
164	3	-6.342677	-3.921933	8.336768	7.502929	5.472358	7.589137	-1.103758	-3.363829	0.387672	1.991573	0.836466	1.186538
181	3	-1.927675	-4.586123	4.591822	7.623804	2.462849	1.953288	-4.003121	0.989734	6.706087	7.047662	-8.596241	-5.556950
184	3	-0.019456	1.198049	0.007968	-4.120328	-5.267076	-4.555933	5.483016	7.396000	6.204009	6.132084	-4.595616	-4.561244
193	3	7.450904	4.555078	-4.900394	2.338559	-5.597171	-1.897313	4.728099	9.520442	7.262308	4.359409	0.861525	6.728218
201	3	-3.460736	-4.990832	7.623324	6.739231	6.082002	2.380407	0.957205	5.380114	6.701304	5.258863	-2.988741	0.930757
213	3	6.190000	2.533203	-6.722245	-1.719933	1.660329	-4.460677	-1.009146	0.325006	0.642329	-7.283258	3.811300	3.892173
224	3	6.889099	1.533922	1.200543	6.158276	-4.271207	-3.379315	7.186734	8.653600	7.762580	6.963670	-0.429660	2.046509
236	3	-1.399844	2.212422	6.245462	2.189950	4.307466	6.917971	2.701435	1.295700	-3.689058	-2.809332	8.969594	7.111696
244	3	4.947270	4.472944	3.716667	1.758770	-2.550827	-5.312165	6.789619	6.031745	6.253879	4.510052	-1.829619	-3.759056
269	3	-5.047166	-9.495258	8.189198	6.743136	-0.438328	-3.097548	2.380667	1.597034	5.885222	3.024490	-0.985362	-0.027163
278	3	3.321497	1.913591	0.157482	-3.387738	2.068446	-6.636450	4.322146	5.886042	5.632961	4.314726	-3.485196	-3.684322
294	3	-5.395064	0.257254	8.681256	6.786660	5.233295	8.920193	-0.019498	-1.125769	1.842803	7.361431	4.597844	2.049276
298	3	0.432389	-2.900959	0.658558	-2.141116	-5.584173	-3.234359	6.364362	3.636724	4.883032	3.341957	-4.925438	-7.295745
307	3	6.553262	6.234861	1.022545	0.310263	6.556162	6.234863	-1.437859	-3.979906	3.937693	1.521568	5.530910	6.906377
312	3	4.118736	5.144435	5.740696	2.654969	6.075260	5.201689	-2.557244	-2.636496	1.149040	0.785220	6.762445	5.258260
313	3	-3.964196	1.670418	5.361520	2.187882	-6.502012	-3.592283	7.306446	7.733745	4.842070	6.596040	1.728851	-1.004740
