1	2	3.554325	2.842939	-0.449567	-0.493110	-6.037775	-5.571456	6.261682	6.671075
3	2	-6.882802	-3.368350	6.706730	4.877791	4.530488	5.898527	0.187926	-7.698983
8	2	-4.878942	-2.244981	7.059671	7.343599	6.584632	6.984370	-4.900383	-5.657217
9	2	8.529323	6.487603	-3.262396	-1.909708	-3.736038	-1.612529	8.689665	4.860234
13	2	3.014696	4.460615	3.044496	-1.652526	-3.423227	-1.263406	7.946945	2.895761
15	2	6.498958	6.017351	-4.192506	-4.825848	-2.215744	-2.405257	6.207619	5.164977
16	2	-3.540964	-6.962534	7.494669	7.356002	5.112719	5.356361	-2.768040	-1.641481
17	2	1.179184	-0.620164	-2.475961	0.422324	6.632305	5.454437	-5.289369	-3.658542
18	2	-4.492380	-5.417647	6.071431	6.926026	7.145052	3.930930	-2.045458	-3.478280
20	2	8.279680	7.501005	-4.461471	-5.090652	-0.725758	-1.393544	7.269871	6.442050
22	2	6.874263	4.558010	-2.856751	-2.974086	-4.256710	-4.088462	7.330634	5.137367
23	2	6.663096	6.704040	-6.248607	-4.749669	-3.614089	-0.829244	5.994447	5.161134
25	2	-0.897402	-1.404056	2.255657	2.813145	5.764467	5.402975	-2.578490	0.234221
27	2	-2.492626	-6.385523	4.935217	6.336625	5.989038	4.074775	2.036667	1.337869
28	2	-4.283497	-4.499197	6.123012	3.789231	7.408255	6.329128	-3.036072	-7.639030
29	2	6.137915	6.998170	-4.996506	-3.536224	-3.082421	-2.631419	5.611872	6.566988
32	2	6.589829	8.389683	-3.412401	-5.538823	-5.321187	-3.150444	5.783959	4.141606
34	2	7.633083	6.615710	-3.170503	-1.561243	-4.435877	-1.243097	7.697725	6.919914
35	2	0.691933	-5.187768	4.576161	6.292194	6.711762	5.578906	-4.693352	-1.154694
36	2	7.053735	6.171000	-5.905866	-4.072997	-4.168843	-4.927446	6.464936	6.861886
41	2	5.600723	7.204764	-0.028595	-2.081919	-3.953554	-2.135672	6.496694	8.435340
43	2	-0.299728	-2.331708	5.372865	7.021031	8.904073	7.081477	-7.489939	-4.631492
44	2	-5.339271	-6.064758	8.221432	5.984528	6.805152	5.926555	-2.444548	-3.450503
45	2	4.774054	7.725509	1.581159	4.305043	-2.447864	1.329451	6.846749	8.239740
46	2	-4.809259	-5.669878	7.359821	6.951291	6.117816	4.442191	-2.261463	0.120223
47	2	0.944941	5.283718	5.474263	4.175808	-5.705658	-2.179211	5.667213	7.028513
