1	2	11.546751	23.712764	56.657941	82.592720	0.738349	0.841752	0.738349	0.765364	2.409391	1.000000	92.160497	13.036494	3.000000	0.045488	16.220184	4.000000	20.140211	12.920537	3.000000	0.013027	18.496563	6.000000	0.230404	16.289266	5.000000	99.826492	5.829067	5.000000	0.011693	18.861237	2.000000	43.650803
2	1	5.743314	58.718378	98.917585	70.281485	0.770485	0.830554	0.237014	0.458182	11.658207	1.000000	19.740344	12.101376	4.000000	0.011473	15.728792	6.000000	89.864373	17.854653	5.000000	0.012606	1.823085	5.000000	0.014446	2.957107	1.000000	29.503761	12.546929	3.000000	0.010826	8.932379	4.000000	44.268915
3	2	16.331200	57.425509	74.116175	26.356844	0.687991	0.962655	0.708769	0.896444	15.230960	3.000000	60.611048	11.011826	2.000000	0.010763	2.200926	6.000000	45.089315	14.390953	5.000000	0.047153	16.276781	1.000000	0.012694	0.725906	2.000000	38.683318	16.625554	6.000000	0.011376	7.046837	4.000000	76.029498
4	3	74.190011	13.472351	68.661011	99.343508	0.206840	0.464673	0.603808	0.187887	5.353794	1.000000	21.984051	10.309230	4.000000	0.049652	9.192196	6.000000	76.764014	3.806809	6.000000	0.230404	16.214590	5.000000	0.030736	17.694079	5.000000	50.323700	12.267385	2.000000	0.015133	10.493660	6.000000	50.865182
5	3	12.879926	59.448393	15.869654	54.539724	0.871773	0.623405	0.768462	0.898281	7.346990	6.000000	77.829739	3.925544	1.000000	0.107712	14.944367	4.000000	43.884569	9.804231	2.000000	0.046627	12.432864	6.000000	0.331522	16.979339	5.000000	52.799294	2.765878	2.000000	0.010992	14.348054	2.000000	10.695517
6	1	45.429235	88.226265	6.536401	92.965930	0.978103	0.533501	0.869299	0.284172	4.808761	1.000000	7.530732	10.560768	5.000000	0.011343	1.836968	6.000000	73.182059	17.074936	1.000000	0.016068	5.823773	3.000000	0.014037	7.424784	2.000000	98.608110	16.735868	2.000000	0.018802	12.240539	1.000000	60.029501
7	1	86.515644	25.535045	5.881642	18.757530	0.305656	0.623377	0.849074	0.620635	12.828516	1.000000	17.086991	6.246880	1.000000	0.088343	14.899051	2.000000	47.753072	16.347337	4.000000	0.012010	8.619419	2.000000	0.010488	1.784456	6.000000	34.046487	12.335022	5.000000	0.014012	1.902724	5.000000	12.905961
8	2	49.323587	38.786802	71.734202	48.868974	0.513548	0.306216	0.537499	0.297135	11.308070	3.000000	39.561125	2.645399	3.000000	0.013987	13.327045	4.000000	16.673837	2.592491	5.000000	0.027770	11.793578	5.000000	0.014481	12.090308	3.000000	57.829055	8.047121	6.000000	0.010910	15.057067	2.000000	90.589782
9	2	60.502930	79.889919	54.572255	18.543644	0.163612	0.889938	0.132091	0.637566	15.098087	4.000000	59.821864	11.026500	2.000000	0.011436	4.713705	2.000000	78.718555	17.405423	2.000000	0.023113	1.525239	4.000000	0.018913	2.419599	3.000000	83.168312	13.703821	3.000000	0.010664	1.477686	1.000000	1.611525
10	1	2.686143	62.405681	20.780577	14.769302	0.837282	0.975658	0.501975	0.152353	9.873361	2.000000	30.758364	2.263469	2.000000	0.014588	16.548353	2.000000	44.394561	1.574399	2.000000	0.015371	12.059741	3.000000	0.383764	15.189879	4.000000	12.555311	0.762140	2.000000	0.011667	1.428806	6.000000	57.912848
