para_indx,stability,freq,A1,A2,B1,B2
3,2,809,0,6,1818,1792
3,2,191,1387,1807,6,0
4,2,171,0,0,1104,1104
4,2,829,1104,1104,0,0
5,2,260,0,0,163,131
5,2,740,153,163,0,0
6,2,24,0,0,78,45
6,2,976,78,78,0,0
9,2,235,0,0,1355,1354
9,2,765,1355,1355,0,0
11,2,50,0,1,2131,2131
11,2,950,2131,2131,1,0
16,2,981,0,2,392,335
16,2,19,181,379,3,0
19,2,910,21,36,36,11
19,2,90,52,656,35,1
22,2,877,0,1,93,69
22,2,123,75,92,1,0
24,2,951,0,0,48,21
24,2,49,16,47,0,0
26,2,984,2,83,864,489
26,2,16,5845,5901,3,0
36,2,27,0,0,1898,1898
36,2,973,1898,1898,0,0
38,2,28,0,0,399,399
38,2,972,399,399,0,0
41,2,945,0,4,218,217
41,2,55,215,218,4,0
43,2,987,0,3,426,426
43,2,13,421,426,1,0
47,2,894,0,12,1906,1531
47,2,106,1265,1970,9,0
48,2,200,0,0,114,114
48,2,800,91,114,0,0
49,2,36,0,2,6061,5819
49,2,964,237,2696,71,2
51,2,307,0,0,806,806
51,2,693,806,806,0,0
52,2,994,1,49,663,2037
52,2,6,224,2310,54,1
56,2,666,0,0,538,538
56,2,334,537,538,0,0
58,2,403,0,0,2502,2502
58,2,597,2502,2502,0,0
66,2,987,0,1,3551,3551
66,2,13,3551,3551,1,0
67,2,915,0,1,539,507
67,2,85,288,504,2,0
69,2,73,0,0,474,469
69,2,927,474,474,0,0
70,2,27,0,2,2805,2805
70,2,973,2805,2805,2,0
71,2,725,0,6,2798,2275
71,2,275,1209,2156,12,1
76,2,49,0,1,2797,2797
76,2,951,3,33,34,52
79,2,998,0,0,74,74
79,2,2,44,74,0,0
80,2,993,0,0,1546,1546
80,2,7,1546,1546,0,0
83,2,1,0,1,1988,1988
83,2,999,11,392,55,2
85,2,708,0,0,728,728
85,2,292,728,728,0,0
86,2,962,0,1,3858,3856
86,2,38,3790,3858,1,0
91,2,83,0,0,94,89
91,2,917,93,94,0,0
93,2,7,0,0,97,96
93,2,993,97,97,0,0
95,2,12,0,0,101,62
95,2,988,96,101,0,0
96,2,789,0,0,15,104
96,2,211,860,860,0,0
99,2,793,0,0,427,401
99,2,207,381,424,0,0
100,2,612,0,1,3030,3030
100,2,388,3030,3030,1,0
101,2,354,0,0,111,90
101,2,646,98,111,0,0
106,2,3,0,0,283,282
106,2,997,283,283,0,0
109,2,456,0,0,2293,2290
109,2,544,2292,2293,0,0
111,2,907,0,1,4582,4581
111,2,93,4579,4582,1,0
